NCT_ID;Asset_Name;Antibody_Format;Antibody_Name;Target_Antigen;Radioisotope;Chelator;Linker_Technology;Category;Asset_Owner;Is_RIT;Asset_Name_Conf;Antibody_Format_Conf;Antibody_Name_Conf;Target_Antigen_Conf;Radioisotope_Conf;Chelator_Conf;Linker_Technology_Conf;Category_Conf;Asset_Owner_Conf;Notes;Extraction_Method;Sources;Phase;Lead_Sponsor;Sponsor_Class;Status;Start_Date;First_Posted;Enrollment;Countries;Conditions;EudraCT_Number;CTIS_Number;Secondary_IDs;Source_Registry;Registry_URL;Target_Antigen_Norm;Antibody_Name_Norm;Radioisotope_Norm;Chelator_Norm;Antibody_Format_Norm;Asset_Owner_Norm;Linker_Technology_Norm;Phase_Norm;Sponsor_Type;Start_Year;Target_Family;Format_Family;Isotope_Family;Chelator_Family
NCT07294430;[89Zr]-Trastuzumab;Full-length IgG;Trastuzumab;HER2;Zr-89;DFO;Direct conjugation;Diagnostic;;Diagnostic;HIGH;HIGH;HIGH;HIGH;HIGH;MEDIUM;MEDIUM;HIGH;;"This is an immunoPET imaging study using [89Zr]-Trastuzumab to visualize HER2 expression and predict response to the ADC Trastuzumab deruxtecan (T-DXd). The radiolabeled antibody is used purely for diagnostic/companion diagnostic purposes to assess target distribution and heterogeneity. DFO (desferrioxamine) is the standard chelator for Zr-89, though not explicitly stated. The imaging tracer [89Zr]-anti-HER2 refers to Trastuzumab, a well-established HER2-targeting monoclonal IgG1 antibody. This study builds on Gebhart et al. 2016 work showing correlation between [89Zr]-Trastuzumab PET and T-DM1 response. The therapeutic component (T-DXd) is an ADC, not an RIT agent. Asset owner unclear as this is likely a radiotracer produced for research purposes; Trastuzumab is originally from Genentech/Roche but radiolabeling for PET is often done by academic centers. | WEB ENRICHMENT: No Asset_Owner information found in the provided abstracts. The articles discuss [89Zr]trastuzumab-PET/CT imaging in various clinical contexts (ZEPHIR trial, HSP90 inhibitor evaluation, afatinib monitoring) but do not identify the developer/owner of the 89Zr-trastuzumab imaging agent itself. The abstracts focus on clinical applications rather than asset development or ownership. | WEB SEARCH ENRICHMENT: Unable to locate clinical trial NCT07294430 in ClinicalTrials.gov database or through web search. The NCT identifier did not return any matching trial records. Without access to the trial registration, cannot determine Asset_Owner for this [89Zr]-Trastuzumab study.";llm_extracted;;PHASE2;UNICANCER;OTHER;NOT_YET_RECRUITING;2025-12-31;2025-12-19;30.0;;Locally Advanced or Metastatic Breast Cancer;;;OTHER:2025-524369-26-00;ClinicalTrials.gov;https://clinicaltrials.gov/study/NCT07294430;HER2;trastuzumab;Zr-89;DFO;Full-length IgG;;Direct conjugation;Phase 2;Academic/Hospital;2025.0;RTK;Full-length IgG;PET;Siderophore chelator
NCT07026110;[68Ga]Ga-NOTA-T4, [68Ga]Ga-NOTA-RT4, [18F]F-RESCA-T4, [18F]F-RESCA-RT4, [68Ga]Ga-NOTA-EPCD6, [18F]F-RESCA-EPCD6;Nanobody / VHH / sdAb;"T4, RT4 (Trop2-targeting); EPCD6 (EpCAM-targeting)";Trop2, EpCAM;Ga-68, F-18;NOTA (Ga-68), RESCA/AlF (F-18);Direct conjugation;Diagnostic;RenJi Hospital;Diagnostic;HIGH;HIGH;HIGH;HIGH;HIGH;HIGH;MEDIUM;HIGH;HIGH;This trial involves diagnostic immunoPET imaging agents targeting Trop2 (Trophoblast cell surface antigen 2) and EpCAM (Epithelial cell adhesion molecule) for differential diagnosis of non-small cell lung cancer. Six radiolabeled agents are tested: [68Ga]Ga-NOTA-T4, [68Ga]Ga-NOTA-RT4, [18F]F-RESCA-T4, [18F]F-RESCA-RT4, [18F]F-RESCA-EPCD6, and [68Ga]Ga-NOTA-EPCD6. The protein format (T4, RT4, EPCD6) is not specified - these could be antibodies, antibody fragments, or other protein scaffolds. NOTA and RESCA are chelators for Ga-68 and F-18 respectively. This is diagnostic immunoPET only, not therapeutic RIT. Since the antibody nature is unclear from the abbreviated names (T4, RT4, EPCD6 likely refer to specific constructs but details not provided), extraction fields are left empty per instructions for diagnostic-only cases where the focus is imaging rather than therapeutic RIT. | WEB SEARCH ENRICHMENT: Web search did not return any results for NCT07026110. The trial may be too recent to be indexed by search engines, or there may be no publicly available information beyond the ClinicalTrials.gov registry entry. Direct access to the ClinicalTrials.gov page for this NCT number would be needed to extract trial details.;llm_extracted;;;RenJi Hospital;OTHER;RECRUITING;2024-12-23;2025-06-18;100.0;China;Lung Cancer, Lung Diseases, Lung Neoplasms, Lung Cancer Metastatic, Lung Inflammation;;;;ClinicalTrials.gov;https://clinicaltrials.gov/study/NCT07026110;"Trop-2; EpCAM";"T4, RT4 (Trop2-targeting); EPCD6 (EpCAM-targeting)";"Ga-68; F-18";NOTA (Ga-68), RESCA/AlF (F-18);Nanobody;RenJi Hospital;Direct conjugation;;Academic/Hospital;2024.0;Epithelial tumor-associated antigen;Small Ab-derived scaffold;PET;
NCT04814615;89Zr-DFO-daratumumab;Full-length IgG;daratumumab;CD38;Zr-89;DFO;Direct conjugation;Diagnostic;Hoag Memorial Hospital Presbyterian;Diagnostic;HIGH;HIGH;HIGH;HIGH;HIGH;HIGH;MEDIUM;HIGH;MEDIUM;"This is a diagnostic immunoPET imaging study using Zr-89-labeled daratumumab to visualize CD38-expressing myeloma cells. Daratumumab is a well-characterized anti-CD38 monoclonal antibody (IgG1κ). DFO (desferrioxamine) is the standard chelator for Zr-89. The trial explicitly describes this as an imaging agent for disease burden assessment and minimal residual disease detection, not for therapeutic purposes. Patients receive standard of care daratumumab therapy separately. Phase I safety study was previously completed. Asset_Owner listed as the academic sponsor; commercial rights to daratumumab are held by Janssen/Johnson & Johnson, but this imaging formulation appears to be an academic development.";llm_extracted;;PHASE2;Hoag Memorial Hospital Presbyterian;OTHER;RECRUITING;2021-03-08;2021-03-24;60.0;United States;Multiple Myeloma;;;;ClinicalTrials.gov;https://clinicaltrials.gov/study/NCT04814615;CD38;daratumumab;Zr-89;DFO;Full-length IgG;Hoag Memorial Hospital Presbyterian;Direct conjugation;Phase 2;Academic/Hospital;2021.0;Hematologic lineage marker;Full-length IgG;PET;Siderophore chelator
NCT06188468;68Ga-MY6349;Full-length IgG;MY6349;Trop-2;Ga-68;DOTA;Direct conjugation;Diagnostic;Shanghai Novamab Biopharmaceuticals Co. Ltd;Diagnostic;HIGH;LOW;MEDIUM;HIGH;HIGH;LOW;LOW;HIGH;MEDIUM;This is a diagnostic immunoPET imaging agent targeting Trop-2. MY6349 appears to be an anti-Trop-2 antibody or antibody fragment radiolabeled with Ga-68 for PET imaging. The goal is to detect Trop-2 expression to identify patients who may benefit from Trop-2 targeted antibody-drug conjugates (like sacituzumab govitecan). Limited technical details on antibody format, chelator type, and conjugation method. Likely uses a bifunctional chelator compatible with Ga-68 (such as DOTA, NOTA, or NODAGA), but this is not specified. This is purely diagnostic imaging, not therapeutic RIT. | WEB ENRICHMENT: PMID:39509246 explicitly describes this trial (NCT06188468) and confirms 68Ga-MY6349 as the tracer. The chelator is inferred as DOTA based on standard 68Ga labeling chemistry - virtually all 68Ga-labeled antibodies and antibody fragments use DOTA or DOTA derivatives (NOTA being less common). The paper describes MY6349 as a Trop2-specific radiotracer without specifying fragment format, but the systematic uptake patterns across multiple cancer types and the clinical translation suggest a full-length antibody rather than a fragment (fragments typically show faster clearance and different biodistribution). Antibody format assigned as Full-length IgG with MEDIUM confidence as it is the most common format for such applications, though the paper does not explicitly state this.;llm_extracted;PMID:39509246;;The First Affiliated Hospital of Xiamen University;OTHER;COMPLETED;2023-10-01;2024-01-03;90.0;China;Tumor, Solid Tumor, Positron-Emission Tomography;;;;ClinicalTrials.gov;https://clinicaltrials.gov/study/NCT06188468;Trop-2;MY6349;Ga-68;DOTA;Full-length IgG;Shanghai Novamab Biopharmaceuticals Co. Ltd;Direct conjugation;;Academic/Hospital;2023.0;Epithelial tumor-associated antigen;Full-length IgG;PET;Macrocyclic chelator
NCT04706715;89Zr-DFO-REGN3767;Full-length IgG;REGN3767;LAG-3;Zr-89;DFO;Direct conjugation;Diagnostic;Regeneron Pharmaceuticals;Diagnostic;HIGH;MEDIUM;HIGH;HIGH;HIGH;HIGH;MEDIUM;HIGH;HIGH;This is an immunoPET imaging study, not therapeutic RIT. 89Zr-DFO-REGN3767 is a diagnostic tracer for imaging LAG-3 expression. REGN3767 is Regeneron's anti-LAG-3 antibody. The tracer is used to assess LAG-3 expression before and during treatment with cemiplimab (anti-PD-1). Zr-89 is a standard PET isotope with 78.4h half-life, well-suited for antibody imaging. DFO (deferoxamine) is the standard chelator for Zr-89. Regeneron is listed as collaborator and REGN designation indicates their asset ownership.;llm_extracted;;PHASE1, PHASE2;University Medical Center Groningen;OTHER;ACTIVE_NOT_RECRUITING;2022-01-18;2021-01-13;41.0;Netherlands;Metastatic Solid Tumor;;;;ClinicalTrials.gov;https://clinicaltrials.gov/study/NCT04706715;LAG-3;REGN3767;Zr-89;DFO;Full-length IgG;Regeneron Pharmaceuticals;Direct conjugation;Phase 1/2;Academic/Hospital;2022.0;Immune checkpoint;Full-length IgG;PET;Siderophore chelator
NCT01565200;89Zr-trastuzumab;Full-length IgG;trastuzumab;HER2;Zr-89;DFO;Direct conjugation;Diagnostic;University of Groningen;Diagnostic;HIGH;HIGH;HIGH;HIGH;HIGH;MEDIUM;MEDIUM;HIGH;;This is a diagnostic imaging study using 89Zr-trastuzumab immunoPET/CT to predict response to T-DM1 (trastuzumab emtansine) therapy in HER2+ metastatic breast cancer. The 89Zr-trastuzumab is purely diagnostic (PET imaging), not therapeutic. The therapeutic agent in this trial is T-DM1 (antibody-drug conjugate, not RIT). Zr-89 labeling of trastuzumab typically uses desferrioxamine (DFO) chelator. The study aims to use HER2 imaging to identify patients unlikely to benefit from T-DM1, and also employs FDG-PET/CT for early response assessment. Asset owner not specified but trastuzumab was developed by Genentech/Roche. | WEB ENRICHMENT: No clear Asset_Owner information found in the provided abstracts. The articles discuss 89Zr-trastuzumab as an imaging tool in various clinical trials (including ZEPHIR trial NCT02023996), but do not specify the developer/owner of the 89Zr-trastuzumab tracer itself. While trastuzumab is a Genentech/Roche product, the radiolabeled diagnostic version may have different ownership. Without explicit attribution in these abstracts, Asset_Owner cannot be confidently determined. | WEB SEARCH ENRICHMENT: Asset_Owner identified as University of Groningen based on pioneering work by Dijkers et al. who developed clinical-grade 89Zr-trastuzumab under GMP conditions at their department of nuclear medicine and molecular imaging. This group introduced HER2 PET imaging with 89Zr-trastuzumab in 2010 and conducted subsequent clinical trials. While the base antibody trastuzumab is manufactured by Genentech/Roche, the radiolabeled diagnostic version (89Zr-trastuzumab) is an academic radiopharmaceutical development originating from University of Groningen.;llm_extracted;https://jnm.snmjournals.org/content/50/6/974|https://jnm.snmjournals.org/content/early/2024/01/25/jnumed.123.266392;PHASE2;Jules Bordet Institute;OTHER;COMPLETED;2012-05;2012-03-28;90.0;Belgium, Netherlands;HER-2 Positive Breast Cancer;2011-005437-39;;EUDRACT_NUMBER:2011-005437-39;ClinicalTrials.gov;https://clinicaltrials.gov/study/NCT01565200;HER2;trastuzumab;Zr-89;DFO;Full-length IgG;University of Groningen;Direct conjugation;Phase 2;Academic/Hospital;2012.0;RTK;Full-length IgG;PET;Siderophore chelator
NCT06650163;Zr-89 crefmirlimab berdoxam;Minibody;crefmirlimab berdoxam;CD8;Zr-89;DFO;Direct conjugation;Diagnostic;ImaginAb Inc.;Diagnostic;HIGH;HIGH;HIGH;HIGH;HIGH;;;HIGH;;This is a diagnostic immunoPET imaging agent designed to visualize CD8+ T-cell infiltration in brain tumors. Explicitly described as a 'radiolabeled anti-CD8+ minibody' for PET imaging. Zr-89 is a standard diagnostic radioisotope for immunoPET. The study aims to validate CD8+ minibody immunoPET for identifying immune cell activity before surgery. Crefmirlimab berdoxam is the antibody component. Chelator likely DFO (standard for Zr-89) but not specified in trial description. Asset owner unclear - appears to be an academic/NCI collaboration. This is purely diagnostic imaging, not therapeutic RIT. | WEB SEARCH ENRICHMENT: Chelator identified as desferrioxamine (DFO/DF) from DrugBank entry which states the antibody is 'conjugated to the chelator desferrioxamine (df)' and confirmed in SNMMI 2024 abstract describing it as 'conjugated with the deferoxamine derivative berdoxam'. Asset owner confirmed as ImaginAb Inc. from multiple press releases and company sources. Linker technology inferred as direct conjugation based on the minibody platform conjugated with DFO chelator without mention of specialized linker systems.;llm_extracted;https://go.drugbank.com/drugs/DB19157|https://jnm.snmjournals.org/content/65/supplement_2/241595|https://www.prnewswire.com/news-releases/imaginab-and-quibim-partner-to-revolutionize-immune-status-diagnosis-and-immunotherapy-prediction-301812551.html;PHASE1;Jonsson Comprehensive Cancer Center;OTHER;RECRUITING;2024-12-05;2024-10-21;20.0;United States;Glioma, Malignant Brain Neoplasm, Meningioma, Metastatic Malignant Neoplasm in the Brain;;;REGISTRY:NCI-2024-08388 | OTHER:24-000877 | NIH:P30CA016042 | NIH:P50CA211015 | NIH:R01CA267726;ClinicalTrials.gov;https://clinicaltrials.gov/study/NCT06650163;CD8;crefmirlimab;Zr-89;DFO;Minibody;ImaginAb;Direct conjugation;Phase 1;Academic/Hospital;2024.0;Immune cell imaging marker;Small Ab-derived scaffold;PET;Siderophore chelator
NCT06735560;89Zr-TLX250;Full-length IgG;girentuximab;CAIX;Zr-89;DFO;Direct conjugation;Diagnostic;Telix Pharmaceuticals;Diagnostic;HIGH;HIGH;HIGH;HIGH;HIGH;MEDIUM;MEDIUM;HIGH;MEDIUM;This is a diagnostic immunoPET imaging study using 89Zr-girentuximab (TLX250 is the Telix designation). Girentuximab is a well-characterized chimeric IgG1 monoclonal antibody targeting CAIX (carbonic anhydrase IX). The trial explicitly mentions PET imaging and theranostic potential (mentions 177Lu labeling for therapeutic use in ccRCC). DFO (desferrioxamine) is the standard chelator for Zr-89. The trial is academic-sponsored (Nantes University Hospital) but TLX250 is a Telix Pharmaceuticals asset. Study is exploring CAIX imaging in HCC, ICC, and GEP-NEN tumors, extending beyond the traditional ccRCC indication. This represents diagnostic imaging only, not therapeutic RIT.;llm_extracted;;;Nantes University Hospital;OTHER;RECRUITING;2025-11-04;2024-12-16;60.0;France;Hepatocellular Carcinoma (HCC), Intrahepatic Cholangiocarcinoma (Icc), Neuroendocrine Tumors;;;;ClinicalTrials.gov;https://clinicaltrials.gov/study/NCT06735560;CAIX;girentuximab;Zr-89;DFO;Full-length IgG;Telix Pharmaceuticals;Direct conjugation;;Academic/Hospital;2025.0;Tissue-restricted tumor antigen;Full-length IgG;PET;Siderophore chelator
NCT06715826;[18F]F-RESCA-RT4 / [18F]F-RESCA-RB14;Nanobody/VHH;RT4 / RB14;Trop2 / HER2;F-18;RESCA;Direct conjugation;Diagnostic;RenJi Hospital;Diagnostic;HIGH;;MEDIUM;HIGH;HIGH;MEDIUM;LOW;HIGH;MEDIUM;Two separate immunoPET imaging probes targeting Trop2 (RT4) and HER2 (RB14). RESCA appears to be a fluorine-18 chelator/labeling system. Short imaging timepoint (1 hour) suggests antibody fragment format (likely scFv, Fab, or nanobody) rather than full-length IgG which typically requires 24-72h imaging. Trial is purely diagnostic/imaging focused with correlation to IHC for protein expression. Academic development at RenJi Hospital. The antibody format is uncertain without additional information, but the rapid imaging protocol strongly suggests a smaller format than full IgG. | WEB ENRICHMENT: No relevant information found in provided PubMed abstracts. All articles discuss unrelated imaging studies (FDG-PET, FAPI-PET, CXCR4-directed imaging) and do not mention the trial asset [18F]F-RESCA-RT4/RB14, Trop2/HER2 targeting antibodies, or antibody format details. The abstracts focus on different radiopharmaceuticals and clinical applications unrelated to this trial's diagnostic agents. | WEB SEARCH ENRICHMENT: RT4 confirmed as single-domain antibody (sdAb)/nanobody from Journal of Nuclear Medicine publication describing Trop2-targeted [18F]AlF-RESCA-RT4 tracer. RT4 is His-tag-free sdAb expressed in CHO cells with ~15 kDa molecular weight. RB14 (HER2-targeting counterpart) uses same F-18/RESCA labeling technology and likely shares same nanobody format based on naming convention and technical approach.;llm_extracted;https://jnm.snmjournals.org/content/65/12/1904|https://pubmed.ncbi.nlm.nih.gov/39542697/|https://pmc.ncbi.nlm.nih.gov/articles/PMC8113197/;PHASE1, PHASE2;RenJi Hospital;OTHER;RECRUITING;2024-09-21;2024-12-04;200.0;China;Breast Cancer, Breast Neoplasms, Breast Cancer Metastatic;;;;ClinicalTrials.gov;https://clinicaltrials.gov/study/NCT06715826;"Trop-2; HER2";RT4 / RB14;F-18;RESCA;Nanobody;RenJi Hospital;Direct conjugation;Phase 1/2;Academic/Hospital;2024.0;Epithelial tumor-associated antigen;Small Ab-derived scaffold;PET;Prosthetic group
NCT03514719;89Zr-avelumab;Full-length IgG;avelumab;PD-L1;Zr-89;DFO;Direct conjugation;Diagnostic;Merck KGaA;Diagnostic;HIGH;HIGH;HIGH;HIGH;HIGH;MEDIUM;MEDIUM;HIGH;HIGH;This is an immunoPET imaging study using Zr-89-labeled avelumab for diagnostic purposes only (imaging PD-L1 expression in NSCLC). The PET scan is followed by treatment with unlabeled avelumab. Zr-89 is a diagnostic PET isotope (t1/2=78.4h), not therapeutic. Avelumab is a fully human IgG1 anti-PD-L1 antibody. Chelator is likely DFO (desferrioxamine), the standard chelator for Zr-89 labeling of antibodies, though not explicitly stated. This is a companion diagnostic/theranostic approach where imaging predicts response to the unlabeled therapeutic antibody.;llm_extracted;;PHASE1;Radboud University Medical Center;OTHER;COMPLETED;2018-10-01;2018-05-02;24.0;Netherlands;Non Small Cell Lung Cancer;;;;ClinicalTrials.gov;https://clinicaltrials.gov/study/NCT03514719;PD-L1;avelumab;Zr-89;DFO;Full-length IgG;Merck KGaA;Direct conjugation;Phase 1;Academic/Hospital;2018.0;Immune checkpoint;Full-length IgG;PET;Siderophore chelator
NCT01420146;89Zr-trastuzumab;Full-length IgG;trastuzumab;HER2;Zr-89;DFO;Direct conjugation;Diagnostic;Jules Bordet Institute;Diagnostic;HIGH;HIGH;HIGH;HIGH;HIGH;MEDIUM;MEDIUM;HIGH;MEDIUM;This is an immunoPET imaging study using Zr-89 labeled trastuzumab for diagnostic purposes only. The trial references the Groningen experience, which established Zr-89-trastuzumab as a HER2 imaging agent. Trastuzumab is the FDA-approved therapeutic antibody (Herceptin), here labeled for PET imaging. Zr-89 is typically chelated via DFO (desferrioxamine), which is the standard chelator for zirconium. This is purely diagnostic - no therapeutic intent. The study aims to validate HER2 immunoPET, quantify HER2 receptor expression, and correlate with FDG-PET/CT and tissue biopsies. Asset ownership is assigned to Jules Bordet Institute as the lead sponsor developing this diagnostic application, though trastuzumab itself is a Genentech/Roche product.;llm_extracted;;PHASE1;Jules Bordet Institute;OTHER;COMPLETED;2011-08;2011-08-19;20.0;Belgium;Breast Neoplasms, Secondary, HER2 Positive Carcinoma of Breast;;;;ClinicalTrials.gov;https://clinicaltrials.gov/study/NCT01420146;HER2;trastuzumab;Zr-89;DFO;Full-length IgG;Jules Bordet Institute;Direct conjugation;Phase 1;Academic/Hospital;2011.0;RTK;Full-length IgG;PET;Siderophore chelator
NCT03746704;89Zr-DFO-REGN3504;Full-length IgG;REGN3504;PD-L1;Zr-89;DFO;Direct conjugation;Diagnostic;Regeneron Pharmaceuticals;Diagnostic;HIGH;MEDIUM;HIGH;HIGH;HIGH;HIGH;MEDIUM;HIGH;HIGH;This is a diagnostic immunoPET imaging study using Zr-89-labeled anti-PD-L1 antibody (REGN3504) to visualize PD-L1 expression in tumors. The study is explicitly focused on imaging (PET), not therapy. Zr-89 is a diagnostic radionuclide with half-life suitable for antibody imaging. DFO (desferrioxamine) is the standard chelator for Zr-89. REGN3504 is likely a full-length monoclonal antibody based on Regeneron's antibody platform and REGN naming convention. The study aims to optimize imaging parameters (mass dose, activity dose, timing) and assess test-retest reliability of PET measures.;llm_extracted;;PHASE1;Regeneron Pharmaceuticals;INDUSTRY;TERMINATED;2019-09-04;2018-11-20;2.0;United States;Advanced PD-L1 Positive Malignancies;;;;ClinicalTrials.gov;https://clinicaltrials.gov/study/NCT03746704;PD-L1;REGN3504;Zr-89;DFO;Full-length IgG;Regeneron Pharmaceuticals;Direct conjugation;Phase 1;Industry;2019.0;Immune checkpoint;Full-length IgG;PET;Siderophore chelator
NCT04467281;89Zr-DFO-daratumumab;Full-length IgG;daratumumab;CD38;Zr-89;DFO;Direct conjugation;Diagnostic;Memorial Sloan Kettering Cancer Center;Diagnostic;HIGH;HIGH;HIGH;HIGH;HIGH;HIGH;MEDIUM;HIGH;MEDIUM;This is a diagnostic immunoPET imaging study using Zr-89 radiolabeled daratumumab to visualize CD38 expression in multiple myeloma. Daratumumab is a well-characterized FDA-approved anti-CD38 monoclonal antibody (IgG1). The study aims to assess CD38 expression before and during treatment with therapeutic (unlabeled) daratumumab. DFO (desferrioxamine) is the standard chelator for Zr-89. This is purely diagnostic imaging, not radioimmunotherapy. Asset ownership is attributed to MSKCC as the developer of this diagnostic tracer, though daratumumab itself is a Janssen product.;llm_extracted;;PHASE2;Memorial Sloan Kettering Cancer Center;OTHER;WITHDRAWN;2020-06-30;2020-07-13;0.0;;Multiple Myeloma;;;;ClinicalTrials.gov;https://clinicaltrials.gov/study/NCT04467281;CD38;daratumumab;Zr-89;DFO;Full-length IgG;Memorial Sloan Kettering Cancer Center;Direct conjugation;Phase 2;Academic/Hospital;2020.0;Hematologic lineage marker;Full-length IgG;PET;Siderophore chelator
NCT03107663;89Zr-Df-IAB22M2C;Minibody;IAB22M2C;CD8;Zr-89;Df (Desferrioxamine);Direct conjugation;Diagnostic;ImaginAb, Inc.;Diagnostic;HIGH;LOW;HIGH;HIGH;HIGH;HIGH;MEDIUM;HIGH;HIGH;This is a diagnostic immunoPET imaging study targeting CD8+ T cells. The agent is used to visualize immune cell distribution in tumors and lymphoid organs. IAB22M2C is the antibody component targeting CD8, but the specific antibody format (IgG, minibody, Fab, etc.) is not specified in the trial description. Given ImaginAb's portfolio, this may be an engineered antibody fragment optimized for imaging. The study is dose-escalation for protein mass (0.2-10 mg) while keeping radioactivity constant at 3.0 mCi. Desferrioxamine (Df/DFO) is the standard chelator for Zr-89. This is purely diagnostic with no therapeutic intent - monitoring CD8+ T cell infiltration as a biomarker for immunotherapy response. | WEB ENRICHMENT: All four PubMed abstracts explicitly identify 89Zr-Df-IAB22M2C as a minibody (anti-CD8 minibody). This is consistently stated across multiple publications including the phase I first-in-humans study (PMID:34413145) and follow-up clinical studies.;llm_extracted;PMID:34413145|PMID:37215571|PMID:31586002;PHASE1;ImaginAb, Inc.;INDUSTRY;COMPLETED;2017-06-19;2017-04-11;15.0;United States;Positron-Emission Tomography, Immunomodulation, Metastatic Solid Malignancies, Hodgkin Lymphoma;;;;ClinicalTrials.gov;https://clinicaltrials.gov/study/NCT03107663;CD8;IAB22M2C;Zr-89;DFO;Minibody;ImaginAb;Direct conjugation;Phase 1;Industry;2017.0;Immune cell imaging marker;Small Ab-derived scaffold;PET;Siderophore chelator
NCT03741231;;;;;;;;;;No;;;;;;;;;;False positive - not RIT. This is an imaging study using 18F-FDG PET to monitor response to immunotherapy (anti-CTLA4 or anti-PD-L1 antibodies) in melanoma and NSCLC patients. 18F-FDG is a small molecule glucose analog (fluorodeoxyglucose), not an antibody-based radiopharmaceutical. The immunotherapy antibodies (checkpoint inhibitors) are not radiolabeled. This is a retrospective observational study evaluating PET as a biomarker for immunotherapy response, not an RIT trial.;llm_extracted;;;University Hospital, Brest;OTHER;COMPLETED;2018-03-01;2018-11-14;70.0;France;Melanoma, NSCLC, Positron-Emission Tomography, Immunotherapy, 18F-FDG;;;;ClinicalTrials.gov;https://clinicaltrials.gov/study/NCT03741231;;;;;;;;;Academic/Hospital;2018.0;;;;
NCT04769050;68Ga-HER2-affibody;Nanobody / VHH / sdAb;HER2-affibody;HER2;Ga-68;NOTA;Site-specific conjugation (maleimide);Diagnostic;Fudan University;Diagnostic;HIGH;HIGH;HIGH;HIGH;HIGH;;;HIGH;MEDIUM;This is a diagnostic imaging study using 68Ga-labeled HER2-affibody for PET imaging to monitor response to anti-HER2 therapies. Affibodies are small (6-7 kDa) engineered scaffold proteins derived from Staphylococcal protein A, distinct from antibodies. The study uses the imaging agent to track HER2 expression dynamically during treatment with conventional anti-HER2 therapies (trastuzumab, pertuzumab, T-DM1, pyrotinib). The affibody is used solely for diagnostic/imaging purposes, not as a therapeutic radiopharmaceutical. Chelator likely DOTA or NOTA for Ga-68 but not specified. This is an observational imaging study, not a therapeutic RIT trial. | WEB ENRICHMENT: No chelator or linker technology information found in the provided abstracts. Articles discuss HER2-affibody imaging applications but do not specify the chelation chemistry or conjugation method used for 68Ga-HER2-affibody. PMID:22582046 mentions 18F-ZHER2:342-Affibody (fluorine-18, not gallium-68), which uses different chemistry. Without explicit mention of the chelator (e.g., NOTA, NODAGA, DOTA) or conjugation approach in these abstracts, no HIGH or MEDIUM confidence extraction is possible. | WEB SEARCH ENRICHMENT: Trial NCT04769050 confirmed to use 68Ga-NOTA-MAL-MZHER2 (68Ga-HER2 affibody) at Fudan University Shanghai Cancer Center. NOTA chelator identified from multiple clinical publications. MAL (maleimide) provides site-specific conjugation to cysteine residue on the affibody. MZHER2:342 contains hydrophilic linker (GGGRDN) modification of base ZHER2:342 affibody.;llm_extracted;https://www.frontiersin.org/journals/oncology/articles/10.3389/fonc.2022.894767/full|https://pmc.ncbi.nlm.nih.gov/articles/PMC9195516/|https://www.frontiersin.org/journals/medicine/articles/10.3389/fmed.2024.1447500/full|https://link.springer.com/article/10.1007/s00259-020-04898-5;;Fudan University;OTHER;UNKNOWN;2021-02-18;2021-02-24;50.0;China;Breast Cancer;;;;ClinicalTrials.gov;https://clinicaltrials.gov/study/NCT04769050;HER2;HER2-affibody;Ga-68;NOTA;Nanobody;Fudan University;Site-specific conjugation;;Academic/Hospital;2021.0;RTK;Small Ab-derived scaffold;PET;Macrocyclic chelator
NCT04339738;;;;;;;;;;No;;;;;;;;;;This trial involves nivolumab (PD-1 checkpoint inhibitor antibody) combined with chemotherapy (paclitaxel) or tyrosine kinase inhibitor (cabozantinib) for soft tissue sarcoma. While nivolumab is an antibody, it is not radiolabeled and is used as an immunotherapy agent, not a radiopharmaceutical. The FDG-PET mentioned is a standard diagnostic imaging procedure, not related to the therapeutic intervention. This is a false positive match - the trial combines unconjugated antibody immunotherapy with conventional chemotherapy or targeted therapy. No radioimmunotherapy component is present.;llm_extracted;;PHASE2;National Cancer Institute (NCI);NIH;ACTIVE_NOT_RECRUITING;2020-11-04;2020-04-09;89.0;Guam, United States;Skin Angiosarcoma, Skin Radiation-Related Angiosarcoma, Visceral Angiosarcoma;;;REGISTRY:NCI-2020-02153 | OTHER:A091902 | OTHER:A091902 | NIH:U10CA180821;ClinicalTrials.gov;https://clinicaltrials.gov/study/NCT04339738;;;;;;;;Phase 2;NIH;2020.0;;;;
